MaLead,SoDienThoai,HoTen,NgayTiepNhan,MaChienDich,MaBaiViet,SanPham,Vung,ChiNhanh,NhuCau,TrangThai,PhanLoai,GiaoDichVien
BRC-03683,0903858089,Khách hàng 3683,27/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Mới,Cần nuôi,GDV-012
BRC-03163,0959701717,Khách hàng 3163,27/08/2026,CMP-2026-Q3,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Mới,Ấm,GDV-030
BRC-03053,0999527768,Khách hàng 3053,27/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Bình Dương,So sánh sản phẩm,Đang liên hệ,Cần nuôi,GDV-059
BRC-02923,0955276373,Khách hàng 2923,27/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Cầu Giấy,Tư vấn sản phẩm,Mới,Cần nuôi,GDV-048
BRC-02569,0972473241,Khách hàng 2569,27/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,So sánh sản phẩm,Không liên hệ được,Ấm,GDV-041
BRC-03696,0902640295,Khách hàng 3696,28/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Cầu Giấy,Tư vấn sản phẩm,Đang liên hệ,Nóng,GDV-014
BRC-03157,0995811717,Khách hàng 3157,28/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Chuyển hồ sơ,Ấm,GDV-020
BRC-03926,0934552664,Khách hàng 3926,28/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Cần Thơ,Tư vấn sản phẩm,Thành công,Ưu tiên thấp,GDV-029
BRC-02706,0910366195,Khách hàng 2706,28/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Đà Nẵng,Hỏi ưu đãi,Đã tư vấn,Cần nuôi,GDV-031
BRC-03871,0918407361,Khách hàng 3871,28/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Cần Thơ,Tư vấn sản phẩm,Đã tư vấn,Cần nuôi,GDV-007
BRC-03661,0931434405,Khách hàng 3661,28/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Đà Nẵng,Tư vấn sản phẩm,Đang liên hệ,Ấm,GDV-049
BRC-03495,0980488104,Khách hàng 3495,29/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Đã tư vấn,Cần nuôi,GDV-050
BRC-03674,0954332143,Khách hàng 3674,29/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,Đang liên hệ,Ấm,GDV-028
BRC-02898,0983384814,Khách hàng 2898,29/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Mới,Nóng,GDV-008
BRC-03448,0919343693,Khách hàng 3448,30/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Mở mới,Mới,Ưu tiên thấp,GDV-040
BRC-03027,0937141349,Khách hàng 3027,30/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,Không liên hệ được,Ấm,GDV-051
BRC-02792,0980288895,Khách hàng 2792,30/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Tư vấn sản phẩm,Đang liên hệ,Ấm,GDV-056
BRC-02534,0947085507,Khách hàng 2534,31/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Đang liên hệ,Ưu tiên thấp,GDV-002
BRC-05681,0968825075,Khách hàng 2609,31/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Đã tư vấn,Nóng,GDV-018
BRC-03904,0978535257,Khách hàng 3904,31/08/2026,CMP-2026-Q3,,Tài khoản lương,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,Mới,Ưu tiên thấp,GDV-004
BRC-03774,0957423204,Khách hàng 3774,31/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Đà Nẵng,Hỗ trợ hồ sơ,Đang liên hệ,Nóng,GDV-032
BRC-03825,0924944973,Khách hàng 3825,31/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,Mới,Ưu tiên thấp,GDV-021
BRC-02677,0948253329,Khách hàng 2677,31/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,Mới,Ấm,GDV-010
BRC-03274,0989366611,Khách hàng 3274,31/08/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,Thành công,Nóng,GDV-012
BRC-03254,0944351036,Khách hàng 3254,01/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Chuyển hồ sơ,Ấm,GDV-050
BRC-02703,0966719732,Khách hàng 2703,01/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Bình Dương,So sánh sản phẩm,Chuyển hồ sơ,Ấm,GDV-059
BRC-03134,0922630495,Khách hàng 3134,01/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Cần Thơ,So sánh sản phẩm,Mới,Cần nuôi,GDV-034
BRC-03438,0925067186,Khách hàng 3438,01/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,So sánh sản phẩm,Thành công,Cần nuôi,GDV-009
BRC-02726,0977435134,Khách hàng 2726,01/09/2026,CMP-2026-Q3,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,So sánh sản phẩm,Đã tư vấn,Nóng,GDV-030
BRC-05473,0910885509,Khách hàng 3823,02/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Cần Thơ,So sánh sản phẩm,Đã tư vấn,Cần nuôi,GDV-007
BRC-02657,0917930348,Khách hàng 2657,02/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Hỏi ưu đãi,Không liên hệ được,Cần nuôi,GDV-006
BRC-03961,0910062870,Khách hàng 3961,02/09/2026,CMP-2026-Q3,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,Đã tư vấn,Cần nuôi,GDV-012
BRC-03093,0907401316,Khách hàng 3093,02/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,Hỗ trợ hồ sơ,Đã tư vấn,Ưu tiên thấp,GDV-024
BRC-03296,0923029118,Khách hàng 3296,02/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Mở mới,Thành công,Cần nuôi,GDV-046
BRC-03238,0964452239,Khách hàng 3238,02/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Bình Dương,Mở mới,Đang liên hệ,Ưu tiên thấp,GDV-018
BRC-03943,0927048892,Khách hàng 3943,03/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Đang liên hệ,Ấm,GDV-052
BRC-03098,0997319462,Khách hàng 3098,03/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Tư vấn sản phẩm,Đang liên hệ,Cần nuôi,GDV-050
BRC-02713,0985395349,Khách hàng 2713,03/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Đang liên hệ,Ưu tiên thấp,GDV-028
BRC-02593,0968622027,Khách hàng 2593,03/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Đà Nẵng,So sánh sản phẩm,Đang liên hệ,Cần nuôi,GDV-024
BRC-03450,0940708061,Khách hàng 3450,03/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Đang liên hệ,Nóng,GDV-036
BRC-03958,0962918367,Khách hàng 3958,03/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Mới,Ấm,GDV-038
BRC-03455,0939758804,Khách hàng 3455,04/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Đang liên hệ,Cần nuôi,GDV-028
BRC-03489,0959330750,Khách hàng 3489,04/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Hỗ trợ hồ sơ,Mới,Ấm,GDV-020
BRC-03135,0925267067,Khách hàng 3135,04/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Nha Trang,Mở mới,Mới,Nóng,GDV-041
BRC-03248,0907345712,Khách hàng 3248,04/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Nha Trang,So sánh sản phẩm,Chuyển hồ sơ,Ấm,GDV-046
BRC-02721,0967474230,Khách hàng 2721,04/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Mới,Cần nuôi,GDV-050
BRC-03960,0962683373,Khách hàng 3960,04/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,Tư vấn sản phẩm,Đang liên hệ,Ưu tiên thấp,GDV-052
BRC-02786,0934299463,Khách hàng 2786,05/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Huế,So sánh sản phẩm,Chuyển hồ sơ,Cần nuôi,GDV-031
BRC-02913,0936855967,Khách hàng 2913,05/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Nha Trang,Hỗ trợ hồ sơ,Không liên hệ được,Cần nuôi,GDV-031
BRC-02934,0985810342,Khách hàng 2934,05/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Bình Dương,Mở mới,Đang liên hệ,Ấm,GDV-031
BRC-03918,0936732681,Khách hàng 3918,05/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Tư vấn sản phẩm,Chuyển hồ sơ,Cần nuôi,GDV-030
BRC-02888,0940446728,Khách hàng 2888,05/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,So sánh sản phẩm,Đã tư vấn,Ưu tiên thấp,GDV-024
BRC-03449,0902813683,Khách hàng 3449,05/09/2026,CMP-2026-Q3,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Hỏi ưu đãi,Mới,Ấm,GDV-032
BRC-02960,0956591721,Khách hàng 2960,05/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Mới,Cần nuôi,GDV-050
BRC-03964,0961349562,Khách hàng 3964,05/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Cầu Giấy,Tư vấn sản phẩm,Đã tư vấn,Ưu tiên thấp,GDV-052
BRC-03623,0930440278,Khách hàng 3623,06/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Đà Nẵng,Mở mới,Mới,Cần nuôi,GDV-025
BRC-02806,0949817113,Khách hàng 2806,06/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Đang liên hệ,Ấm,GDV-018
BRC-02749,0933241416,Khách hàng 2749,06/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Mới,Ưu tiên thấp,GDV-052
BRC-03912,0977922265,Khách hàng 3912,06/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Đã tư vấn,Nóng,GDV-056
BRC-02656,0949370348,Khách hàng 2656,06/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Hỏi ưu đãi,Đang liên hệ,Ấm,GDV-040
BRC-05612,0904781130,Khách hàng 0693,06/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Đà Nẵng,Hỗ trợ hồ sơ,Đã tư vấn,Ấm,GDV-036
BRC-02630,0991868139,Khách hàng 2630,06/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Chuyển hồ sơ,Cần nuôi,GDV-026
BRC-03900,0921051072,Khách hàng 3900,06/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,Mở mới,Không liên hệ được,Cần nuôi,GDV-004
BRC-03947,0981392120,Khách hàng 3947,07/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Mở mới,Chuyển hồ sơ,Ấm,GDV-046
BRC-02805,0957563036,Khách hàng 2805,07/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,So sánh sản phẩm,Đang liên hệ,Nóng,GDV-053
BRC-03304,0993076661,Khách hàng 3304,07/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Mới,Ưu tiên thấp,GDV-001
BRC-02919,0980725377,Khách hàng 2919,07/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,Đang liên hệ,Ưu tiên thấp,GDV-026
BRC-03550,0961463685,Khách hàng 3550,07/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Nha Trang,Tư vấn sản phẩm,Đã tư vấn,Ấm,GDV-041
BRC-03707,0997460355,Khách hàng 3707,07/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Nha Trang,Hỗ trợ hồ sơ,Không liên hệ được,Ưu tiên thấp,GDV-019
BRC-03951,0978175208,Khách hàng 3951,08/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,So sánh sản phẩm,Đã tư vấn,Ấm,GDV-010
BRC-03447,0940008684,Khách hàng 3447,08/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,So sánh sản phẩm,Chuyển hồ sơ,Cần nuôi,GDV-039
BRC-03701,0951628847,Khách hàng 3701,08/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Bình Dương,Mở mới,Mới,Ưu tiên thấp,GDV-008
BRC-03769,0919885116,Khách hàng 3769,08/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Đà Nẵng,So sánh sản phẩm,Thành công,Nóng,GDV-038
BRC-03272,0977698019,Khách hàng 3272,08/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Đà Nẵng,Hỗ trợ hồ sơ,Đang liên hệ,Ưu tiên thấp,GDV-007
BRC-03500,0972424433,Khách hàng 3500,09/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,Mới,Cần nuôi,GDV-001
BRC-02884,0983994924,Khách hàng 2884,09/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Hỗ trợ hồ sơ,Thành công,Cần nuôi,GDV-042
BRC-03179,0958816925,Khách hàng 3179,09/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Tư vấn sản phẩm,Đang liên hệ,Ấm,GDV-011
BRC-03017,0992094756,Khách hàng 3017,09/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỗ trợ hồ sơ,Chuyển hồ sơ,Ấm,GDV-041
BRC-03634,0969445427,Khách hàng 3634,10/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Thành công,Nóng,GDV-025
BRC-03975,0920069329,Khách hàng 3975,10/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Đà Nẵng,Hỏi ưu đãi,Đã tư vấn,Ấm,GDV-032
BRC-02838,0944865670,Khách hàng 2838,10/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Bình Dương,Hỗ trợ hồ sơ,Mới,Cần nuôi,GDV-025
BRC-02922,0945289336,Khách hàng 2922,10/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Thành công,Ưu tiên thấp,GDV-038
BRC-02575,0952538833,Khách hàng 2575,10/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,Hỗ trợ hồ sơ,Không liên hệ được,Ấm,GDV-017
BRC-03360,0983153042,Khách hàng 3360,10/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Chuyển hồ sơ,Ấm,GDV-026
BRC-02644,0957460358,Khách hàng 2644,10/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Huế,Hỏi ưu đãi,Thành công,Nóng,GDV-017
BRC-02544,0949195475,Khách hàng 2544,10/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Thành công,Ấm,GDV-043
BRC-03967,0917070759,Khách hàng 3967,10/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Cầu Giấy,So sánh sản phẩm,Đang liên hệ,Cần nuôi,GDV-037
BRC-03673,0948785685,Khách hàng 3673,11/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Nha Trang,Tư vấn sản phẩm,Thành công,Cần nuôi,GDV-029
BRC-03682,0915149007,Khách hàng 3682,11/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Cầu Giấy,Tư vấn sản phẩm,Mới,Ấm,GDV-002
BRC-03208,0964332708,Khách hàng 3208,11/09/2026,CMP-2026-Q3,,Vay mua nhà,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,Mới,Ấm,GDV-050
BRC-03584,0918158622,Khách hàng 3584,11/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Huế,Mở mới,Chuyển hồ sơ,Ấm,GDV-047
BRC-03932,0990171708,Khách hàng 3932,11/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Cần Thơ,Mở mới,Không liên hệ được,Ấm,GDV-007
BRC-02756,0928321233,Khách hàng 2756,12/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,Tư vấn sản phẩm,Đã tư vấn,Ưu tiên thấp,GDV-049
BRC-03294,0924479257,Khách hàng 3294,12/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Đã tư vấn,Ấm,GDV-045
BRC-02549,0944409078,Khách hàng 2549,12/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Cần Thơ,Tư vấn sản phẩm,Đã tư vấn,Ấm,GDV-041
BRC-03693,0960045649,Khách hàng 3693,12/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,Mở mới,Đã tư vấn,Ấm,GDV-044
BRC-02719,0938822358,Khách hàng 2719,12/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,Đang liên hệ,Nóng,GDV-048
BRC-03329,0922811620,Khách hàng 3329,13/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Tư vấn sản phẩm,Không liên hệ được,Nóng,GDV-007
BRC-03833,0983023038,Khách hàng 3833,13/09/2026,CMP-2026-Q3,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Đang liên hệ,Ưu tiên thấp,GDV-056
BRC-03154,0932243177,Khách hàng 3154,13/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,So sánh sản phẩm,Mới,Ấm,GDV-057
BRC-03276,0926277417,Khách hàng 3276,13/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,So sánh sản phẩm,Đang liên hệ,Ấm,GDV-008
BRC-02874,0977824774,Khách hàng 2874,13/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỏi ưu đãi,Không liên hệ được,Cần nuôi,GDV-050
BRC-03663,0925963255,Khách hàng 3663,13/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Bình Dương,Mở mới,Đang liên hệ,Ấm,GDV-059
BRC-03885,0911622403,Khách hàng 3885,13/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Đang liên hệ,Cần nuôi,GDV-010
BRC-03802,0960622058,Khách hàng 3802,13/09/2026,CMP-2026-Q3,,Vay mua nhà,Miền Trung,CN Nha Trang,Mở mới,Thành công,Ấm,GDV-031
BRC-02755,0918984679,Khách hàng 2755,13/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,So sánh sản phẩm,Mới,Nóng,GDV-010
BRC-03908,0999273501,Khách hàng 3908,13/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Đã tư vấn,Nóng,GDV-018
BRC-02937,0954615254,Khách hàng 2937,13/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Đang liên hệ,Ấm,GDV-028
BRC-02659,0948782716,Khách hàng 2659,13/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,So sánh sản phẩm,Đã tư vấn,Ưu tiên thấp,GDV-034
BRC-03219,0995852864,Khách hàng 3219,14/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỏi ưu đãi,Đang liên hệ,Ưu tiên thấp,GDV-026
BRC-03417,0993973814,Khách hàng 3417,14/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Mở mới,Mới,Cần nuôi,GDV-060
BRC-03973,0992573590,Khách hàng 3973,14/09/2026,CMP-2026-Q3,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Nha Trang,Mở mới,Đã tư vấn,Ấm,GDV-021
BRC-03200,0914160301,Khách hàng 3200,14/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Tư vấn sản phẩm,Đã tư vấn,Ấm,GDV-025
BRC-03308,0917208457,Khách hàng 3308,14/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Cầu Giấy,So sánh sản phẩm,Đang liên hệ,Ấm,GDV-001
BRC-02945,0993302798,Khách hàng 2945,14/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Mới,Ấm,GDV-027
BRC-02871,0962110517,Khách hàng 2871,14/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Đã tư vấn,Ưu tiên thấp,GDV-044
BRC-02725,0914557937,Khách hàng 2725,14/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,Hỗ trợ hồ sơ,Đã tư vấn,Cần nuôi,GDV-022
BRC-02916,0954181958,Khách hàng 2916,15/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Đã tư vấn,Cần nuôi,GDV-005
BRC-03390,0912483969,Khách hàng 3390,15/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Hỗ trợ hồ sơ,Chuyển hồ sơ,Nóng,GDV-048
BRC-03641,0901212805,Khách hàng 3641,15/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN Cần Thơ,Mở mới,Thành công,Ấm,GDV-054
BRC-05517,0903287736,Khách hàng 3883,15/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Đã tư vấn,Ấm,GDV-030
BRC-03561,0987515164,Khách hàng 3561,15/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,So sánh sản phẩm,Đã tư vấn,Ấm,GDV-060
BRC-03717,0904000967,Khách hàng 3717,15/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Đã tư vấn,Ấm,GDV-033
BRC-02563,0926227454,Khách hàng 2563,15/09/2026,CMP-2026-Q3,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Mới,Ưu tiên thấp,GDV-010
BRC-03261,0968648667,Khách hàng 3261,15/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Trung,CN Đà Nẵng,Mở mới,Đang liên hệ,Ưu tiên thấp,GDV-035
BRC-03817,0936774699,Khách hàng 3817,16/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Đang liên hệ,Ưu tiên thấp,GDV-017
BRC-03453,0946187914,Khách hàng 3453,16/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,So sánh sản phẩm,Mới,Ưu tiên thấp,GDV-042
BRC-03488,0923247693,Khách hàng 3488,17/09/2026,CMP-2026-Q3,,Tài khoản lương,Miền Nam,CN Cần Thơ,So sánh sản phẩm,Đang liên hệ,Nóng,GDV-055
BRC-03840,0916679555,Khách hàng 3840,17/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,Mới,Ấm,GDV-022
BRC-03722,0915732757,Khách hàng 3722,17/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Đã tư vấn,Ưu tiên thấp,GDV-058
BRC-03612,0954374396,Khách hàng 3612,17/09/2026,CMP-2026-Q3,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Hỗ trợ hồ sơ,Đã tư vấn,Ấm,GDV-013
